a surprising thing|jambo la ajabu
perpendicular lines|mistari ya mraba
cattle epidemic|maradhi ya ng'ombe
light rain, drizzle|mvua ya marasharasha
light rain, drizzle|mvua ya marasharasha
light rain, drizzle|mvua ya marasharasha
light rain, drizzle|mvua ya marasharasha
light rain, drizzle|mvua ya marasharasha
She took some spray-on perfume, lipstick, a small mirror, and some powder|anachukua marashi ya kupulizia, rangi ya mdomo, kioo kidogo na poda [Muk]
cattle epidemic|maradhi ya ng'ombe
It is not long enough|haina marefu ya kutosha
It is not long enough|haina marefu ya kutosha
It is not long enough|haina marefu ya kutosha
since it was built by his late father|tangu ilipojengwa na marehemu baba yake [Sul]
The detective investigated inside a wide and stylish sitting room.|Mpelelezi alichungulia ndani ya sebule pana na maridadi [Ganzel Masomo 163].
my wife is charming|mke wangu maridhia
my wife is modest|mke wangu maridhia
my wife is nice|mke wangu maridhia
my wife is polite|mke wangu maridhia
my wife is unassuming|mke wangu maridhia
my wife is unpretentious|mke wangu maridhia
red coral|marijani ya fedhaluka
These people are my contemporaries|hawa ni marika yangu
These people are my contemporaries|hawa ni marika yangu
shotgun|bunduki ya marisaa
the gold faucet dripped in the marble basin|mifereji ya dhahabu ilikojoa ndani ya tasa la marmar [Ya]
she looked like a statue of white marble, perfectly and beautifully sculpted|alionekana kama sanamu la marmari nyeupe lililochongwa kwa uzuri wa kukamilia [Naila Kharusi <i>Usinisahau</i>]
It is prohibited to show any signs of racial discrimination.|Ni marufuku pia kuonyesha dalili zo zote za ubaguzi wa rangi [Masomo 100].
Smoking is prohibited here|Ni marufuku kufutia sigara hapa
Smoking is prohibited here|Ni marufuku kufutia sigara hapa
political (religious) questions.|masahala ya siasa (dini)
write poetry|tunga mashairi
write poetry|tunga mashairi
write poetry|tunga mashairi
write poetry|tunga mashairi
write poetry|tunga mashairi
write poetry|tunga mashairi
Middle East|mashariki ya kati/katikati
obligatory prayers|shuruti la sala
large piece of the father who has the moustache of a scorpion|pandikizi la baba, mwenye masharubu ya nge [Ya]
football competition|mashindano ya mpira
to take the first place in the awaited competition|kushika nafasi ya kwanza katika mashindano yaliyokuwa yakingojewa [Muk]
football competition|mashindano ya mpira
mechanical|kwa kutumia mashine
His hands worked like a machine.|Mikono yake ilifanya kazi kama mashine [Chambati Masomo 242]
typewriter|machine ya kuandika
the bottles were in the refrigerator|chupa zilikuwemo ndani ya mashine ya barafu
mechanical|kwa kutumia mashine
typewriter|machine ya kuandika
procure charges.|fanya mashitakiano
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
modern dresses|mashono mapya
procure charges|fanya mashtakiano
go for a walk|enda masia
go for a walk|enda masia
signs of the rainy season are beginning to appear|dalili ya masika sasa inaanza kuonekana
Grandfather began his narration.|Babu alianza masimulizi yake [Masomo 304]
This fiance doesn't think about your interests but just about his own.|Huyu mchumba hafikiri maslahi yalko bali yake mwenyewe [Masomo 39]
"Don't believe what he says, he is a wag/joker".|maneno yake yasikutishe, yeye ni mtu wa masoka sana
ancestor worship|ibaada ya mahoka (or mizimu)
"speak with foreign accent, speak a language with the accent of one's mother tongue".|sema matamko
"speak with foreign accent, speak a language with the accent of one's mother tongue".|sema matamko
"spreader of lies, gossip, talebearer".|mtanda miongo
where they are mourning, someone has died (proverb)|kunako matanga, kumekufa mtu (methali)
He walks proudly to the outside door.|Anatembea kwa matao kuelekea mlango utokao nje [Chacha, Masomo 378]
My brother you have problems, I cannot understand them.|Kakangu una matata, kuyaelewa siwezi [Amana, Masomo 406]
the people of Nairobi travel by minibuses|watu wa Nairobi wanasafiri kwa matatu
The girl swallowed saliva.|Msichana alimeza mate [Ganzel Masomo 167].
tourism.|matembezi ya wageni
Suitable tests are those that measure, for example vocabulary, comprehension, etc.|Mitihani ifaayo ni ile inayopima mathalan msamiati, ufahamu n.k.  [Masomo 187]
If a death occurs, for example, s/he will compose a poem for the bereaved to comfort them.|Pakitukia kifo, mathalan, atawatungia shairi wafiwa kuwaliwaza [Khan, Masomo 391]
muddy water|maji matibwitibwi
stale water|maji matibwitibwi
temper (metal, by heating)|tia matiko
ruffled hair|matimutimu ya nywele
unruly hair|matimutimu ya nywele
Emphasize the most appropriate use of punctuation; the building will be able to protect many Government documents for subsequent uses.|Sisitiza matumizi bora ya vituo [Masomo 76]; Jengo litawezesha kuhifadhi nyaraka nyingi za Serikali kwa matumizi ya hapo baadaye [Masomo 362].
The girl tried to get up but her pain prevented her from doing so.|Msichana alikuwa akijaribu kunyanyuka lakini maumivu yake yalimzuia [Ganzel Masomo 164]
Matika was larger than Chonya in terms of physique.|Matika alimpitia sana Chonya kwa maungo [Balisidya, Masomo 346]
fever made all her limbs cold|[hofu] ikiyafanya maungo yake yazizime [Sul]
death overtook him on the way.|mauti yalimfika njiani
The bad part of the past is forgotten.  (lit.  : the offal of the past does not smell)|mavi ya kale hayanuki
eating is sweet, digging is weariness (proverb)|kula kutamu, kulima mavune (methali)
The hunter's child followed his father to the hunting grounds.|Mtoto wa mwindaji alifuatana na baba yake mpaka mawindoni [Masomo 312]
clouds are the sign of rain (proverb)|dalili ya mvua ni mawingu (methali)
be sad|fanya/ona majonzi
be sad|fanya/ona majonzi
be sad|fanya/ona majonzi
The difficulties that he has are the result of his folly.|taabu anayopata ni mazao ya upuuzi wake.
Children should do many letter writing exercises that concern their surroundings.|Watoto wafanye mazoezi mengi ya kuandika barua za kirafiki zinazohusu mazingira yao [Masomo 76]
curdled milk|maziwa mabichi/ya robu
Jim was extravagant, a lover of luxury and of the sweet life|Jim alikuwa mbadhirifu, mpenda tamasha, mpenda maisha matamu ... [Ganzel Masomo 175]
tonight there was moonlight|usiku huu ulikuwa wa mbaamwezi [Moh]
far from|mbali ya...[Rec]
Because Kiswahili has more than enough words completely on its own ...|Kwa kuwa Kiswahili kina maneno mengi mno ya kujitosheleza chenyewe mbali ... [Khan, Masomo 393]
far from|mbali ya...[Rec]
far from|mbali ya...[Rec]
far from|mbali ya...[Rec]
far from|mbali ya...[Rec]
I have known about this matter for a long time.|niliyajua mambo haya mbali [Rec]
I have known about this matter for a long time.|niliyajua mambo haya mbali [Rec]
far from|mbali ya...[Rec]
mbono/kokwa ya mbarika|seed of the castor-oil plant.
commentator (on religious matters)|mbashiri dini
St.  John the Baptist.|Mtakatifu Johana Mbatizaji
sow|panda mbegu
in front of me.|mbele yangu
bourgeois hangers-on.|wadoezi wa wabepari
two houses|nyumba mbili
well-shaped arm (leg).|mbinu ya mkono (mguu)
For every soldier who is in the front lines, there must be other soldiers here behind supervising transport, sending and receiving communications, and planning attack strategies.|Kwa kila askari aliye katika mstari wa mbele, lazima waweko askari wengine huku nyuma wakisimamia usafirishaji, wakipeleka na kupokea habari, na wakipanga mbinu za mashambulizi [Nyerere, Masomo 275-6]
v tranplant seeds|tiya mbiya
to dive|piga mbizi [Rec]
caster-oil|mafuta ya mbono
In this war they have been ready to sleep in watery places with mosquitos and huge snakes.|Katika vita hivi wamewahi kulala sehemu za maji na mbu na majoka [Nyerere, Masomo 278]
wild animal|mnyama mbuai
Each village had its borders and its grasslands and pastures [Masomo 309]|Kila kijiji kilikuwa na mipaka yake na mbuga na malisho yake [Masomo 309].
entering the gardens of paradise|kuingia mbuga za peponi [Kez]
If there is a winner who is recognized as such without an problem then it is announced that this person is the member of parliament.|Ikiwa yupo mshindi anayejulikana bila tatizo lo lote basi hutangazwa kuwa ni mbunge [Masomo 106]
track of a snake|mburuzo wa nyoka
track of a snake|mbuuzo wa nyoka
she dragged herself into the kitchen and threw herself on top of the coconut grater|akajikokotea jikoni na kupweteka juu ya mbuzi [Sul]
the hair itself was not from a cow nor a goat|manyoya yenyewe si ya ng'ombe wala mbuzi [Abd]
and they came across a rabbit, and sent a dog to chase it|wakamkuta sungura, wakamfukuza na mbwa [Kez]
to belch.|piga mbweu
If they are not God-fearing ...|Kama si wachaji Mungu [Shaaban Robert, Masomo 426]
international crisis.|mchafuko wa kilimwengu.
good afternoon|habari za mchana?
Each policeman was able to get for himself more than one young wife.|Kila askari aliweza kujipatia wake wachanga zaidi ya moja [Kareithi Masomo 58]
granulated sugar.|sukari mchanga [Rec]
granulated sugar.|sukari mchanga [Rec]
grain of sand.|chembe ya mchanga [Rec]
Matata made a major contribution toward making him a trusted athlete|Matata alikuwa ametoa mchango mkubwa katika kumfanya mwanariadha wa kutumainiwa [Muk]
to depend upon people's donations|kutegemea michango ya watu
My brother was bewitched by the sorcerer who stays in this village.|Kakangu alilogwa na mchawi anayekaa kwenye kijiji hiki.
millet grain.|mchele wa mtama
he who is nervous about the crying of a child will cry himself (proverb)|mchelea mwana kulia hulia yeye (methali)
dancer|mcheza ngoma
dancer|mcheza ngoma
he does this only for the fun of it.|anafanya haya kwa mchezo tu [Rec]
he does this only for the fun of it.|anafanya haya kwa mchezo tu [Rec]
he does this only for the fun of it.|anafanya haya kwa mchezo tu [Rec]
football game|mchezo wa mpira
Ebrahim Hussein is a famous playright|Ebrahim Hussein ni mwandishi maarufu wa michezo ya kuigiza
"miner, mine worker".|mchimbaji wa madini , mchimbaji dhahabu
"miner, mine worker".|mchimbaji wa madini , mchimbaji dhahabu
"miner, mine worker".|mchimbaji wa madini , mchimbaji dhahabu
Asumini was a complete bundle of nerves|Asumini akawa mchocheo mtupu [Moh]
warmonger.|mchochezi wa vita [Rec]
warmonger.|mchochezi wa vita [Rec]
warmonger.|mchochezi wa vita [Rec]
warmonger.|mchochezi wa vita [Rec]
The preliminary matches of the World Cup.|michuano ya awali ya Kombe la Dunia [Masomo 363]
Take the meat out of the sauce.|Ondoa nyama katika mchuzi [Masomo 19]
As soon as she saw the glasses her lips opened.|Alipoiona tu miwani midomo yake ilifumbuka [Ganzel Masomo 169]; midomo ya sanamu hiyo ilikuwa ikichezacheza [Kez]
put meat in one's mouth.|tia nyama mdomoni [Rec]
double-barrelled gun.|bunduki ya midomo miwili.
Bats eat insects|Popo hula wadudu [Masomo 29]
The drumbeat becomes increasingly enjoyable.|Mdundo huzidi kukolea msichana anayefikia hali ya kuwa mtu mzima [Masomo 130]
football game.|mechi ya mpira [Rec]
kind of imported rice.|mpunga wa meli
cabin|chumba cha meli [Rec]
There are both good and evil in the world.|memea na maovu ndio ulimwengu [Rec]
movie director.|meneja wa cinema
movie director.|meneja wa cinema
movie director.|meneja wa cinema
peel manioc (potatoes).|menya muhogo
peel manioc (potatoes).|menya muhogo
peel manioc (potatoes).|menya muhogo
muskrat|panya miski
they could see the ocean when it sparkled in the sun|waliweza kuiona bahari ikimeta kwenye jua lile [Sul]
use proverbs in a conversation.|tumia methali katika mazungumzo [Rec]
the girl hesitated, swallowed saliva, and said in a deep voice, "I don't know them" [Masomo 167]; she swallows the pills and throws herself on the couch|msichana alisita, alimeza mate, akasema kwa sauti nzito, "Siwafahamu" [Ganzel Masomo 167]; anavimeza vidonge, anajipweteka kochini [Muk]
we sat at the <b>table</b> to eat dinner|sisi tulikaa <b>mezani</b> kula chakula cha jioni
The ruler of Mombasa killed the Portuguese general by stabbing him and seized the Fort.|Mfalme wa Mombasa alimuwa kwa kumchoma kisu jemadari wa Kireno na kuiteka Ngome [Masomo 143]
My brother who went to Kenya saw many animals, <b>for example</b> elephants and giraffes.|Kakangu aliyekwenda Kenya aliwaona wanyama wengi, <b>kwa mfano</b> tembo na twiga.
worker|mfanyakazi
"worker",|mfanyaji kazi .  mfanyaji kazi wa shamba
worker|mfanyakazi
if he sees it has a profit, great|akiona ina mfao, vyema [Sul]
Panama Canal|Mfereji wa Panama
when will you get running water in this house?|lini utatia mfereji nyumba hii?  [Ya]
range of a bullet|mfiko wa risasi
The potter commonly eats off potsherds.|mfinyanzi hulia gae
if a death occurs, for example, she will compose a poem for the bereaved to comfort them|pakitukia kifo, mathalan, atawatungia shairi wafiwa kuwaliwaza [Khan, Masomo 391]
the mourner begins the wailing, later others join (proverb)|kilio huanza mfiwa, ndipo wa mbali wakaingia (methali)
dry torrent bed|mfo mkavu
"surf, breakers".|mfua wa mawimbi
"surf, breakers".|mfua wa mawimbi
goldsmith (silversmith)|mfua dhahabu(fedha)
goldsmith (silversmith)|mfua dhahabu(fedha)
"surf, breakers".|mfua wa mawimbi
They were charged with being Mau Mau partisans.|Walishitakiwa kuwa ni wafuasi wa Mau Mau [Kareithi Masomo 52]
they bought livestock to secure life in their old age|wakanunua mifugo na kuimarisha maisha yao ya uzeeni [Moh]
she took her notebook bag|alichukua mfuko wake wa madaftari [Kez]
when he put his hand in the pocket of his pants|akitia mkono katika mfuko wa suruali [Sul]
stand and turn around more than twenty times successively|simame uzunguke zaidi ya mara ishirini kwa mfululizo [Masomo 416]
the blows went unceasingly until blood came from her nose|makofi yalikwenda mfululizo hata damu ikamtoka puani [Kez]
lined/ruled paper|karatasi ya mfuo
a plain door (without carving or ornamentation)|mlango wa mfuto
simple mat|mkeka wa mfuto
he must be fresh and unpretentious among many city things|lazima awe mbichi na mfuto katika mambo mengi ya mjini [Abd]
vacuum cleaner|mfyonza(or kifyonza) vumbi
we were not drinking coffee in the <b>cafe</b>|hatukuwa tunakunywa kahawa <b>mgahawa</b>ni
she ate at the <b>restaurant</b> that was in Dar es Salaam|alikula kwenye <b>mgahawa</b> ambao ulikuweko Dar es Salaam
the sick boys were taken to be healed by a <b>doctor</b> at the hospital.|wavulana wagonjwa walichukuliwa kutibiwa na <b>mganga</b> hospitalini.
a witchdoctor does not cure himself (proverb)|mganga hajigangui (methali)
dividend.|mgao wa faida
dividend.|mgao wa faida
pharmacist/druggist.|mgawaji dawa
pharmacist/druggist.|mgawaji dawa
dividend.|mgao wa faida
dividend.|mgao wa faida
"If the maker of palm wine is praised for his wine, he adds water to it".|mgema akisifiwa tembo hulitia maji
"If the maker of palm wine is praised for his wine, he adds water to it".|mgema akisifiwa tembo hulitia maji
current guests|wageni sasa
32 visitors from 17 countries|wageni 32 kutoka nchi 17
democratic reform.|mgeuzo wa kidemokrasi
democratic reform.|mgeuzo wa kidemokrasi
democratic reform.|mgeuzo wa kidemokrasi
democratic reform.|mgeuzo wa kidemokrasi
democratic reform.|mgeuzo wa kidemokrasi
candidate in an election.|mgombea uchaguzi
candidate in an election.|mgombea uchaguzi
candidate in an election.|mgombea uchaguzi
candidate in an election.|mgombea uchaguzi
candidate in an election.|mgombeaji uchaguzi
candidate in an election.|mgombea uchaguzi
go-slow|mgomo baridi
go-slow|mgomo baridi
It's essential that we act in accordance with what is wanted by the family, whether it's good or bad so that we can live without conflicts and disturbances.|Inabidi tufuate pendekezo la jamii, na liwe jema au baya ili tupate kuishi bila ya migongano na misukosuko [Chacha, Masomo 379]
The banging of the pestle and the clapping is very pleasing msichana anayefikia hali ya kuwa mtu mzima [Masomo 130]|Mgongo wa mchi na makofi huwa wa kupendeza mno msichana anayefikia hali ya kuwa mtu mzima [Masomo 130]
camel's hump|mgongo wa ngamia
lie on one's back.|lala mgongoni
I think the <b>sick person</b> will recover soon.|ninafikiri <b>mgonjwa</b> atapona karibuni.
Dissatisfaction spreads when people feel hunger pains|Imeenea migumo, njaa watu yawauma (Shaaban Robert)
an aimless wanderer wears away his feet (proverb)|mtembezi hula miguu yake (methali)
he could not run fast because he had only one <b>leg</b>.|hakukimbia haraka kwa sababu alikuwa na <b>mguu</b> mmoja tu.
He is asking the unobtainable of me.|anitaka muhali
If a lawbreaker appeared, he was punished very forcefully; Two lawbreakers who were buryed alive.|Kama mhalifu angeonekana, angeadhibiwa vikali [Masomo 314]; wahalifu wawili waliozikwa wazima [Sul]
The people with one purpose were willing to sacrifice themselves.|Wananchi kwa nia moja wakawa radhi kabisa kujitoa mhanga [Nyerere, Masomo 274].
cleaning up the mess of his anxiety|kuusafisha uchafu wa mhangaiko wake [Ma]
American Indian|Mhindi mwekundu (perhaps archaic?)
government seal|mhuri wa serikali
this document is not valid because it does not have the official stamp|hati hii si kweli kwa sababu haina mhuri wa serikali [Rech]
S/he is yawning|Anakwenda miayo
I am not ready to converse with a person who is guided by a bird, I myself.|Si tayari kuzungumza na mtu anayeongozwa na ndege mie [Chacha, Masomo 378]
eternal life|maisha ya milele
I cannot see another woman possessing you.|Siwezi kumwona mke mwingine akikumiliki [Chacha, Masomo 383].
procure abortion.|haribu mimba
"germinate, sprout".|fanya mimba
"germinate, sprout".|fanya mimba
Who is the girl who got pregnant without being married?; the five month pregnancy that she has now; the first pregnancy of Tamina she gave birth to at home.|Nani ni msichana aliyepata mimba bila kuolewa?  [Masomo 314];mimba ya miezi mitano aliyokuwa nayo sasa [Kez], mimba ya kwanza Tamima aliizalia nyumbani [Moh]
this book is mine|kitabu hiki ni changu
break the egg slowly and pour it into the frying pan [Masomo 16]|vunja yai polepole na kulimimina kwenye kikaango [Masomo 16].
There were crowds of people at the assembly.|watu walimiminika katika mkutano
There were crowds of people at the assembly.|watu walimiminika katika mkutano
balance of forces|mizani ya nguvu
balance of forces|mizani ya nguvu
He, along with many others, was not fortunate enough to enter Form One of secondary school.|Yeye, miongoni mwa vijana wengine wengi, alikuwa amekosa bahati ya kuingia kidato cha kwanza cha shule za sekondari [Balisidya Masomo 344]
one who exacts retribution.|mlipizi kisasi
rare: law of inheritance.|masala ya mirathi
rare: law of inheritance.|masala ya mirathi
rare: law of inheritance.|masala ya mirathi
celebration of the mass.|adhimisho la misa takatifu
use proverbs in a conversation.|tumia methali katika mazungumso [Rec]
use proverbs in a conversation.|tumia methali katika mazungumso [Rec]
missionary school|skuli ya misheni
missionary school|skuli ya misheni
muskrat|panya miski
Moses led the Israelites from Egypt to Caanan.|Musa aliwaongoza Waisraeli kutoka nchini Misri hadi Kaanan [Masomo 86].
use proverbs in a conversation.|tumia methali katika mazungumso [Rec]
use proverbs in a conversation.|tumia methali katika mazungumso [Rec]
similar to a short story|mithali ya hadithi fupi [Masomo 415]
combination of numbers.|miungano ya namba mbalimbali [Rec]
to whistle.|piga miunzi
on top of the small cupboard there were glasses with thick lenses and large black frames|juu ya kikabati hicho ilikuwapo miwani yenye vioo vinene na fremu kubwa nyeusi [Ganzel Masomo 169]
Therefore a poet is a sheikh or a pastor who sermonizes to people.|Kwa hivi mshairi ni shekhe au padri anayewahubiria waja [Khan, Masomo 391]
av.  test pilot.|mjaribu wa ndege
av.  test pilot.|mjaribu wa ndege
to whip|piga/tia mjeledi
where there are plenty of trees there are no builders (proverb)|penye miti hakuna wajenzi (methali)
more than a million Germans gathered on the streets of the capital city of Berlin for the New Year's celebration|wajerumani zaidi ya milioni moja walikusanyika kwenye barabara za mji mkuu Berlin kwa sherehe za mwaka mpya (<a href="http://dwelle.de/kiswahili/Habari/2.223469.3.html" target="_blank">Radio Deutsche Welle</a>, 1/1/07)
Tegemea's compound was finished|mji wa Tegemea ulikwisha [Kez]
capital city|mji mkuu
Tegemea's homestead was finished|mji wa Tegemea ulikwisha [Kez]
her cloth had a white background|mji wa kitambaa chake ulikuwa mweupe [Sul]
These are foolish people.|Hawa ni watu wajinga [Nabhany Masomo 293]
Many of us are great thieves.|Wengi wetu ni mijizi [Amana, Masomo 407]
government representative.|mjumbe wa serikali
government representative.|mjumbe wa serikali
government representative.|mjumbe wa serikali
University of Dar es Salaam|Chuo Kikuu cha Dar es Salaam
Mansuri himself was not a regular occupant of his home|Mansuri mwenyewe hakuwa mkaaji wa kwake [Sul]
"facing, opposite, contrasting".|mkabala wa...
farm inspector|mkagua shamba
farm inspector.|mkagua shamba
farm inspector.|mkagua shamba
inspection of a school|mkaguo wa skuli
farm inspector.|mkagua shamba
an obstinate child does not suffer save on the feast day after Ramadhan (proverb)|mwana mkaidi hafaidi mpaka siku ya Idi (methali)
he knew he was following a stubborn man|alijua kwamba amefuatana na mtu mkaidi [Sul]
atheist.|mkana mungu
atheist.|mkana mungu
hydraulic press.|mkandamizo wa maji maji
camphor tree.|mkarafu maiti
After the first World War the British ruled our country by a special charter.|Baada ya Vita Kuu ya Kwanza, Waingereza walitawala nchi yetu kwa mkataba maalum [Masomo 3]
pressed/plug tobacco.|mkate wa tumbako
The cruel people drove them away.|Wakatili waliwafukuza [Masomo 88]
shortcut.|njia ya mkato
resolute words.|maneno ya mkato
resolute words.|maneno ya mkato
resolute words.|maneno ya mkato
shortcut.|njia ya mkato
shortcut.|njia ya mkato
There are buses that provide service to the residents.|Kuna mabasi kuwahudumia wakazi [Masomo 216]
accent (on a syllable).|mkazo wa sauti
accent (on a syllable).|mkazo wa sauti
While he waited for the Inspector he took out his pack of cigarettes, took out one, and lit up.|Wakati akimsubiri Inspekta alitoa mkebe wake wa sigara akatoa moja na kujiwashia [Masomo 166]
"lines of embroidery on a kanzu, proceeding from the mjusi".|mkia wa mjusi
be last.|la mkia
"insane person, madman, lunatic".|mwenye kichaa
"insane person, madman, lunatic".|mwenye kichaa
"insane person, madman, lunatic".|mwenye kichaa
Amin is now a refugee.|Amin sasa ni mkimbizi [Nyerere, Masomo 279]
If I resembled a cuttle fish.|Nikishabihi mkizi [Amana, Masomo 408]
These are ethnic groups like the Masai, the Tindiga and the Hadza who live in Arusha, Singida and Shinyanga provinces.|Makabila haya ni kama Wamasai, Watindaga na Wahadza wanaoishi katika mikoa ya Arusha, Singida na Shinyanga [Masomo 308].
The robbers tried to steal her <b>purse</b>, but she hit them, and they ran away.|Wezi walijaribu kuuiba <b>mkoba</b> wake, lakini aliwapiga, na wakakimbia.
urinate.|mwaga mkojo
urinate.|mwaga mkojo
if you want to buy mangrove in quantity or fish, go to Lamu|ukitaka kununua mikoko kwa wingi ama samaki, nenda Lamu [Masomo 153]
a bunch of coconuts.|mkole wa nuzi
a bunch of coconuts.|mkole wa nuzi
bed of a river.|mkondo wa mto
the track of the lion.|mkondo wa simba
I extended my hand to greet him when I introduced myself|nilinyosha mkono wangu kumsalimia nikijitambulisha (<a href="http://www.mambogani.com/forums/index.php?showtopic=6068" target="_blank">mambogani.com</a>)
handle of a pan|mkono wa chungu
S/he wore a gold necklace.|Alivaa mkufu wa dhahabu.
My poem is good for wearing as an ornamental chain of flowers or of precious metal.|Ni mwema utungo wangu, kwa vikuba na mikufu [Shaaban Robert, Masomo 427]; mkufu wa shingo
A farmer with a farm|Mkulima mwenye shamba
this third pregnancy does not have a midwife or a doctor|hii [mimba] ya tatu ndiyo haina mkunga wala daktari [Moh]
"one who makes faces, clown".|mkunjaji uso
"one who makes faces, clown".|mkunjaji uso
trousers with a pressed crease.|suruali yenye mkunjo
party leader.|mkuu wa chama (kiti) [Rec]
in the evening at the assembly of people|jioni kwenye mkusanyiko wa watu [Muk]
Often matters and disputes or disagreements were resolved in celebrations and a meeting of the clan.|Mara nyingi visa na ugomvi ama kutopatana kulisawazishwa kwenye sherehe na mukusanyiko wa ukoo [Masomo 309]
press conference|mkutano wa waandishi [Rec]
the current session of the OAU.|mkutano wa sasa wa OAU [Masomo 325]
that woman has been chosen to be the head of the committee|yule mama amechaguliwa kuwa mkuu wa kamati
Those brave leaders liberated them.|Wakuu hao jasiri waliwaokoa [Masomo 85]
the president of the company knows the names of all his employees|mkuu wa kampuni anajua majina ya kila mfanyakazi wake
you may quarrel with your family or your in-laws|waweza kuwa na ubishi na jamaa zako ama wakwe zako [Nyota 1968]
usurer|mla riba
usurer|mla riba
about ten steps from the door of his house|hatua kama kumi hivi toka mlango wa nyumba yake (<a href="http://www.blog.co.tz/mapambazuko" target="_blank">Ni Mapambazuko</a>)
inside that pocket|mle mfukoni
Every worker must help these soldiers with disabilities to do their work.|Kila mfanya kazi lazima awasaidie askari hawa walemavu kufanya kazi zao ...[Nyerere, Masomo 282]
Because we are both studying, we both should be childcare providers.|Muradi sote twasoma, soteni tuwe walezi [Amana, Masomo 408]
volcano|mlima wa moto
The people are the same whether they eat flatbread or wholewheat bread.|Ni wamoja walimwengu, wa chapati na wa mofa [Shaaban Robert, Masomo 425]
He was not just a ruler but a protector of the peace and the customs of the nation.|Hakuwa mtawala tu bali mlinda amani na mila za nchi [Masomo 305].
bowsprit.|mlingo wa maji
soldier on patrol; on the front line|mlinzi wa doria
Komenjue was the leader and protector of the Meru people.|Komenjue alikuwa kiongozi na mlinzi wa Wameru [Masomo 87]
rifle shot.|mlio wa bunduki
lowing of cattle.|mlio wa ng'ombe
lowing of cattle.|mlio wa ng'ombe
rifle shot.|mlio wa bunduki
lowing of cattle.|mlio wa ng'ombe
It is eaten with a serving of any type of food made from grain.|Huliwa na mlo wa aina yo yote ya nafaka [Masomo 16]
first decade|mlongo wa kwanza
decimal arithmetic|hesabu za milongo
he is one of them|yuko katika milongo yao
The evil settler government denied us justice.|Serikali mbaya ya walowezi ilitunyima haki [Kenyatta Masomo 116]
American dollars|dola za kimarekani
each (and every) one.|kila mmoja
each (and every) one|kila mmoja
auction off.|piga (uza kwa) mnada [Rec]
auction off.|piga (uza kwa) mnada [Rec]
"one who calls to prayer, muezzin".|mnadi sala
Mount Kilimanjaro is an African landmark|Mlima Kilimanjaro ni mnara wa Afrika [Masomo 4]
"popular speaker, demagogue".|mnena watu
shining/pierching eyes.|mng'arizo wa macho
dentist.|mng'oaji meno
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
doorkeeper|mngoja mlango
s/he gushed with rumors.|alifoka kwa mnong'ono [Mt]
Since the distant past that bird has grasped people's whispers and has begun to insult uncivilized people like me.|Toka zama za kale, huyu ndege hushika minong'ono ya watu na kuanza kukebehi washenzi kama mimi [Chacha, Masomo 378].
armed insurrection.|mnyanyuko wa silaha
armed uprising|mnyanyuko wa silaha
She was weak with pains in her bones.|Alikuwa mnyonge kwa kuugua mifupa [Kareithi Masomo 56]
bicycle-chain.|mnyororo wa baisikeli
bicycle-chain.|mnyororo wa baisikeli
[Diana ] is a drinker who doesn't become drunk quickly.|[Diana] ni mnywaji asiyelewa kirahisi [Muk]
my money is there in my pocket|hela yangu imo mfukoni mwangu
The people are the same whether they eat flatbread or wholewheat bread.|Ni wamoja walimwengu, wa chapati na wa mofa [Shaaban Robert, Masomo 425]
wear elegant clothes.|vaa nguo mufti
wear fashionable clothes.|vaa nguo mufti
wear modern clothes.|vaa nguo mufti
wear stylish clothes.|vaa nguo mufti
day on which boys bathe for the first time after circumcision.|siku ya mwogo
people are not all alike|watu si wamoja
a certain person.|mtu mmoja
eleven.|kumi na moja
harmony (literary one heart)|moyo mmoja
Letters are one of the things that are very important in our everyday life.|Barua ni jambo mojawapo ambalo ni la muhimu sana katika maisha yetu ya kila siku [Masomo 71]
"calf, heifer".|mori ya ng'ombe
Anger overwhelmed me and I ran to the telephone.|Mori ulinipanda nikakimbilia simu [Ganzel Masomo 167]
"recent, pol.  smokescreen".|pazia la moshi
where there is smoke there is fire.|gari la moshi
First I must go, secondly....|mosi lazima niende, pili...
Saturday|Jumamosi
motor scooter.|rare baisikeli ya motor
He decided to look for that motorboat so as to escape from that place.|Aliamua kuitafuta motaboti hiyo ili atoroke mahali pale [Chambati Masomo 245]
"bus, taxi".|motakaa ya abiria
"bus, taxi".|motakaa ya abiria
in all the houses.|nyumbani mote
in the entire house.|nyumbani mote
in the whole house|nyumbani mote
burning coals|makaa ya moto
without current.|isiyo na moto
hard/taxing work.|kazi moto
glowing coals.|makaa ya moto
hot water.|maji moto
light/kindle a fire|washa moto
"bus, taxi".|motakaa ya abiria
"bus, taxi".|motakaa ya abiria
without courage and this response, we would not have been able to fight and win this war|bila ya moyo na mwitikio huo, tusingeweza kupigana na kushinda vita [Nyerere, Masomo 275]
core at the top of the coconut tree (favored as a delicacy).|moyo wa mnazi
this one is his favorite|huyu ndiye moyo wake
